Title,Genres,Rank,Average Score
Sousou no Frieren,"['Adventure', 'Drama', 'Fantasy', 'Shounen']",1,
Fullmetal Alchemist: Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",2,
One Piece Fan Letter,"['Action', 'Adventure', 'Fantasy', 'Shounen']",3,
Steins;Gate,"['Drama', 'Psychological', 'Sci-Fi', 'Suspense', 'Time Travel']",4,
Shingeki no Kyojin Season 3 Part 2,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",5,
Gintama°,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",6,
Gintama: The Final,"['Action', 'Comedy', 'Drama', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",7,
Gintama',"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",8,
Hunter x Hunter (2011),"['Action', 'Adventure', 'Fantasy', 'Shounen']",9,
Gintama': Enchousen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",10,
Ginga Eiyuu Densetsu,"['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']",11,
Bleach: Sennen Kessen-hen,"['Action', 'Adventure', 'Shounen', 'Supernatural']",12,
Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Comedy', 'Romance', 'School', 'Seinen']",13,
Gintama.,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",14,
Fruits Basket: The Final,"['Drama', 'Romance', 'Shoujo', 'Supernatural']",15,
Clannad: After Story,"['Drama', 'Romance']",16,
Gintama,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",17,
Koe no Katachi,"['Award Winning', 'Drama', 'Shounen']",18,
3-gatsu no Lion 2nd Season,"['Childcare', 'Drama', 'Seinen', 'Strategy Game']",19,
Code Geass: Hangyaku no Lelouch R2,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']",20,
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen', 'Time Travel']",21,
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",22,
Kusuriya no Hitorigoto,"['Drama', 'Historical', 'Medical', 'Mystery']",23,
Monster,"['Adult Cast', 'Drama', 'Mystery', 'Psychological', 'Seinen', 'Suspense']",24,
Owarimonogatari 2nd Season,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",25,
Shingeki no Kyojin: The Final Season - Kanketsu-hen,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",26,
Violet Evergarden Movie,"['Award Winning', 'Drama']",27,
Kimi no Na wa.,"['Award Winning', 'Drama']",28,
Kingdom 3rd Season,"['Action', 'Historical', 'Military', 'Seinen']",29,
Bleach: Sennen Kessen-hen - Soukoku-tan,"['Action', 'Adventure', 'Shounen', 'Supernatural']",30,
Gintama. Shirogane no Tamashii-hen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",31,
Vinland Saga Season 2,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",32,
Mob Psycho 100 II,"['Action', 'Comedy', 'Supernatural']",33,
Jujutsu Kaisen 2nd Season,"['Action', 'Gore', 'School', 'Shounen', 'Supernatural']",34,
